gen_id	pul_id	jbrowseTag	orientation
650520590	1	Sulf	+	
650520591	1	REG	-	
650520592	1	PL	-	
650520593	1	PL	-	
650520594	1	other	-	
650520595	1	SusD	-	
650520596	1	Trans	-	
650520597	1	GH	-	
650520598	1	PL	+	
650520599	1	other	-	
650520600	1	other	+	
650520601	1	other	+	
650520602	1	other	+	
650520603	1	Trans	+	
650520604	1	SusD	+	
650520616	2	GH	-	
650520617	2	GH	-	
650520618	2	GH	-	
650520619	2	other	-	
650520620	2	SusD	-	
650520621	2	Trans	-	
650520622	2	other	+	
650520623	2	other	+	
650520624	2	GH	-	
650521143	5	GH	-	
650521144	5	other	-	
650521145	5	GH	-	
650521146	5	SusD	-	
650521147	5	Trans	-	
650521148	5	REG	-	
650521149	5	REG	-	
650521192	6	REG	+	
650521193	6	REG	+	
650521194	6	Trans	+	
650521195	6	SusD	+	
650521196	6	other	+	
650521197	6	other	+	
650521198	6	other	-	
650521199	6	Trans	+	
650521200	6	GH	+	
650521201	6	REG	-	
650521202	6	other	+	
650521203	6	REG	+	
650521220	7	other	-	
650521221	7	SusD	-	
650521222	7	Trans	-	
650521223	7	PL	-	
650521224	7	GH	+	
650521225	7	PL	+	
650521226	7	Sulf	+	
650521227	7	PL	+	
650521228	7	other	+	
650521262	8	REG	+	
650521263	8	REG	+	
650521264	8	Trans	+	
650521265	8	SusD	+	
650521266	8	other	+	
650521267	8	other	+	
650521268	8	other	+	
650521269	8	GH	+	
650521270	8	GH	+	
650521271	8	GH	+	
650521681	11	GH	-	
650521682	11	REG	+	
650521683	11	GH	+	
650521684	11	GH	+	
650521685	11	GH	+	
650521686	11	GH	+	
650521687	11	other	+	
650521688	11	GH	+	
650521689	11	GH	+	
650521690	11	other	+	
650521691	11	other	-	
650521692	11	other	+	
650521693	11	Trans	+	
650521694	11	SusD	+	
650521695	11	other	+	
650521696	11	GH	+	
650521697	11	GH	+	
650521698	11	other	+	
650521699	11	other	+	
650521700	11	GH	+	
650521837	13	REG	+	
650521838	13	Trans	+	
650521839	13	SusD	+	
